Date,Close,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,+St. Dev._sentiment,- St. Dev._sentiment
2012-09-07,1437.9200439453125,0.330579,0.338843,0.330579,0.3297545,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-10,1429.0799560546875,0.330579,0.338843,0.330579,0.3297545,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-11,1433.56005859375,0.330579,0.338843,0.330579,0.3297545,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-12,1436.56005859375,0.330579,0.338843,0.330579,0.3297545,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-13,1459.989990234375,0.364583,0.305556,0.329861,0.347589875,0.0347219999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-14,1465.77001953125,0.364583,0.305556,0.329861,0.347589875,0.0347219999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-17,1461.18994140625,0.364583,0.305556,0.329861,0.347589875,0.0347219999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-18,1459.3199462890625,0.364583,0.305556,0.329861,0.347589875,0.0347219999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-19,1461.050048828125,0.364583,0.305556,0.329861,0.347589875,0.0347219999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-20,1460.260009765625,0.375,0.287162,0.337838,0.359321125,0.0371619999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-21,1460.1500244140625,0.375,0.287162,0.337838,0.359321125,0.0371619999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-24,1456.8900146484375,0.375,0.287162,0.337838,0.359321125,0.0371619999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-25,1441.5899658203125,0.375,0.287162,0.337838,0.359321125,0.0371619999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-26,1433.3199462890625,0.375,0.287162,0.337838,0.359321125,0.0371619999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-27,1447.1500244140625,0.361011,0.274368,0.364621,0.3663877499999999,-0.0036099999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-09-28,1440.6700439453125,0.361011,0.274368,0.364621,0.3663877499999999,-0.0036099999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-01,1444.489990234375,0.361011,0.274368,0.364621,0.3663877499999999,-0.0036099999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-02,1445.75,0.361011,0.274368,0.364621,0.3663877499999999,-0.0036099999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-03,1450.989990234375,0.361011,0.274368,0.364621,0.3663877499999999,-0.0036099999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-04,1461.4000244140625,0.338608,0.329114,0.332278,0.3631255,0.00633,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-05,1460.9300537109375,0.338608,0.329114,0.332278,0.3631255,0.00633,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-08,1455.8800048828125,0.338608,0.329114,0.332278,0.3631255,0.00633,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-09,1441.47998046875,0.338608,0.329114,0.332278,0.3631255,0.00633,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-10,1432.56005859375,0.338608,0.329114,0.332278,0.3631255,0.00633,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-11,1432.8399658203125,0.305755,0.305755,0.388489,0.35529225,-0.0827339999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-12,1428.5899658203125,0.305755,0.305755,0.388489,0.35529225,-0.0827339999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-15,1440.1300048828125,0.305755,0.305755,0.388489,0.35529225,-0.0827339999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-16,1454.9200439453125,0.305755,0.305755,0.388489,0.35529225,-0.0827339999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-17,1460.9100341796875,0.305755,0.305755,0.388489,0.35529225,-0.0827339999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-18,1457.3399658203125,0.286604,0.267913,0.445483,0.33867025,-0.158879,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-19,1433.18994140625,0.286604,0.267913,0.445483,0.33867025,-0.158879,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-22,1433.8199462890625,0.286604,0.267913,0.445483,0.33867025,-0.158879,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-23,1413.1099853515625,0.286604,0.267913,0.445483,0.33867025,-0.158879,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-24,1408.75,0.286604,0.267913,0.445483,0.33867025,-0.158879,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-25,1412.969970703125,0.292453,0.27673,0.430818,0.331824125,-0.1383649999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-10-26,1411.93994140625,0.292453,0.27673,0.430818,0.331824125,-0.1383649999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
