Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
2001-09-06,0.3034,0.3596,0.3371,1.0001,0.3531125,-0.0337,0.3761076426708409,0.4773140559726221,0.2749012293690596,1155.4,1082.12,1085.78
2001-09-13,0.2667,0.3667,0.3667,1.0001,0.32395,-0.1,0.3761076426708409,0.4773140559726221,0.2749012293690596,1092.54,1073.15,1092.54
2001-09-20,0.3108,0.2432,0.4459,0.9999,0.3259,-0.1351,0.3761076426708409,0.4773140559726221,0.2749012293690596,1092.54,944.75,965.8
2001-09-27,0.5111,0.2667,0.2222,1.0,0.3443375,0.2889,0.3761076426708409,0.4773140559726221,0.2749012293690596,1040.94,965.8,1040.94
2001-10-04,0.5122,0.1951,0.2927,1.0,0.3646875,0.2194999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1084.12,1026.76,1071.38
2001-10-11,0.4737,0.2456,0.2807,1.0,0.379625,0.193,0.3761076426708409,0.4773140559726221,0.2749012293690596,1099.16,1052.76,1091.65
2001-10-18,0.6056,0.1831,0.2113,1.0,0.412225,0.3943,0.3761076426708409,0.4773140559726221,0.2749012293690596,1107.12,1057.24,1073.48
2001-10-25,0.5588,0.2647,0.1765,1.0,0.4427875,0.3823,0.3761076426708409,0.4773140559726221,0.2749012293690596,1110.61,1065.64,1104.61
2001-11-01,0.35,0.3167,0.3333,1.0,0.4486125,0.0166999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1104.61,1053.61,1087.2
2001-11-08,0.3462,0.2308,0.4231,1.0001,0.45855,-0.0768999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1135.75,1087.2,1120.31
2001-11-15,0.4545,0.2121,0.3333,0.9999,0.4765124999999999,0.1212,0.3761076426708409,0.4773140559726221,0.2749012293690596,1148.28,1098.32,1138.65
2001-11-22,0.5833,0.1667,0.25,1.0,0.4855374999999999,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596,1152.45,1129.78,1150.34
2001-11-29,0.6933,0.1067,0.2,1.0,0.5081749999999999,0.4933,0.3761076426708409,0.4773140559726221,0.2749012293690596,1163.38,1125.51,1139.45
2001-12-06,0.5918,0.1633,0.2449,1.0,0.5229375,0.3469,0.3761076426708409,0.4773140559726221,0.2749012293690596,1173.62,1125.78,1158.31
2001-12-13,0.614,0.2456,0.1404,1.0,0.5239874999999999,0.4736,0.3761076426708409,0.4773140559726221,0.2749012293690596,1158.31,1114.53,1123.09
2001-12-20,0.5246,0.2131,0.2623,1.0,0.5197125,0.2623,0.3761076426708409,0.4773140559726221,0.2749012293690596,1152.44,1122.66,1144.89
2001-12-27,0.5769,0.1538,0.2692,0.9999,0.548075,0.3077,0.3761076426708409,0.4773140559726221,0.2749012293690596,1164.64,1144.62,1161.02
2002-01-03,0.5111,0.2444,0.2444,0.9999,0.5686875,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596,1176.55,1136.23,1172.51
2002-01-10,0.5479,0.2329,0.2192,1.0,0.5803625,0.3287,0.3761076426708409,0.4773140559726221,0.2749012293690596,1176.97,1145.45,1145.6
2002-01-17,0.2955,0.4091,0.2955,1.0001,0.5443874999999999,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,1148.81,1124.45,1127.58
2002-01-24,0.3469,0.3469,0.3061,0.9999,0.5010875,0.0408,0.3761076426708409,0.4773140559726221,0.2749012293690596,1139.5,1117.43,1133.28
2002-01-31,0.4545,0.3182,0.2273,1.0,0.483925,0.2272,0.3761076426708409,0.4773140559726221,0.2749012293690596,1138.63,1081.66,1122.2
2002-02-07,0.375,0.3958,0.2293,1.0001,0.45405,0.1457,0.3761076426708409,0.4773140559726221,0.2749012293690596,1122.2,1077.78,1096.22
2002-02-14,0.4516,0.3871,0.1613,1.0,0.4449249999999999,0.2903,0.3761076426708409,0.4773140559726221,0.2749012293690596,1124.72,1094.68,1104.18
