Date,Close,Volume,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,Close_sentiment
2001-07-19,1215.02001953125,1343500000,0.5,0.3478,0.1522,0.3776625,0.3478,0.3761076426708409,1210.85
2001-07-26,1202.9300537109375,1213900000,0.2952,0.3238,0.381,0.352875,-0.0857999999999999,0.3761076426708409,1205.82
2001-08-02,1220.75,1218300000,0.3636,0.2727,0.3636,0.3451374999999999,0.0,0.3761076426708409,1214.35
2001-08-09,1183.4300537109375,1104200000,0.3494,0.3735,0.2771,0.350675,0.0722999999999999,0.3761076426708409,1190.16
2001-08-16,1181.6600341796875,1055400000,0.3542,0.2708,0.375,0.3532875,-0.0207999999999999,0.3761076426708409,1161.97
2001-08-23,1162.0899658203125,986200000,0.3448,0.3448,0.3103,0.3584125,0.0344999999999999,0.3761076426708409,1184.93
2001-08-30,1129.030029296875,1157000000,0.3143,0.4571,0.2286,0.3467749999999999,0.0857,0.3761076426708409,1133.58
2001-09-06,1106.4000244140625,1359700000,0.3034,0.3596,0.3371,0.3531125,-0.0337,0.3761076426708409,1085.78
2001-09-20,984.5399780273438,2004800000,0.3108,0.2432,0.4459,0.3259,-0.1351,0.3761076426708409,965.8
2001-09-27,1018.6099853515624,1467000000,0.5111,0.2667,0.2222,0.3443375,0.2889,0.3761076426708409,1040.94
2001-10-04,1069.6300048828125,1609100000,0.5122,0.1951,0.2927,0.3646875,0.2194999999999999,0.3761076426708409,1071.38
2001-10-11,1097.4300537109375,1704580000,0.4737,0.2456,0.2807,0.379625,0.193,0.3761076426708409,1091.65
2001-10-18,1068.6099853515625,1262900000,0.6056,0.1831,0.2113,0.412225,0.3943,0.3761076426708409,1073.48
2001-10-25,1100.0899658203125,1364400000,0.5588,0.2647,0.1765,0.4427875,0.3823,0.3761076426708409,1104.61
2001-11-01,1084.0999755859375,1317400000,0.35,0.3167,0.3333,0.4486125,0.0166999999999999,0.3761076426708409,1087.2
2001-11-08,1118.5400390625,1517500000,0.3462,0.2308,0.4231,0.45855,-0.0768999999999999,0.3761076426708409,1120.31
2001-11-15,1142.239990234375,1454500000,0.4545,0.2121,0.3333,0.4765124999999999,0.1212,0.3761076426708409,1138.65
2001-11-29,1140.199951171875,1375700000,0.6933,0.1067,0.2,0.5081749999999999,0.4933,0.3761076426708409,1139.45
2001-12-06,1167.0999755859375,1487900000,0.5918,0.1633,0.2449,0.5229375,0.3469,0.3761076426708409,1158.31
2001-12-13,1119.3800048828125,1511500000,0.614,0.2456,0.1404,0.5239874999999999,0.4736,0.3761076426708409,1123.09
2001-12-20,1139.9300537109375,1490500000,0.5246,0.2131,0.2623,0.5197125,0.2623,0.3761076426708409,1144.89
2001-12-27,1157.1300048828125,876300000,0.5769,0.1538,0.2692,0.548075,0.3077,0.3761076426708409,1161.02
2002-01-03,1165.27001953125,1398900000,0.5111,0.2444,0.2444,0.5686875,0.2667,0.3761076426708409,1172.51
2002-01-10,1156.550048828125,1299000000,0.5479,0.2329,0.2192,0.5803625,0.3287,0.3761076426708409,1145.6
2002-01-17,1138.8800048828125,1380100000,0.2955,0.4091,0.2955,0.5443874999999999,0.0,0.3761076426708409,1127.58
2002-01-24,1132.1500244140625,1552800000,0.3469,0.3469,0.3061,0.5010875,0.0408,0.3761076426708409,1133.28
2002-01-31,1130.199951171875,1557000000,0.4545,0.3182,0.2273,0.483925,0.2272,0.3761076426708409,1122.2
2002-02-07,1080.1700439453125,1441600000,0.375,0.3958,0.2293,0.45405,0.1457,0.3761076426708409,1096.22
2002-02-14,1116.47998046875,1272500000,0.4516,0.3871,0.1613,0.4449249999999999,0.2903,0.3761076426708409,1104.18
2002-02-21,1080.949951171875,1381600000,0.3636,0.3818,0.2545,0.4182625,0.1090999999999999,0.3761076426708409,1089.84
2002-02-28,1106.72998046875,1392200000,0.4444,0.3519,0.2037,0.409925,0.2407,0.3761076426708409,1131.78
2002-03-07,1157.5400390625,1517400000,0.5333,0.3111,0.1555,0.4081,0.3778,0.3761076426708409,1164.31
2002-03-14,1153.0400390625,1208800000,0.5645,0.2903,0.1452,0.441725,0.4193,0.3761076426708409,1154.09
2002-03-21,1153.5899658203125,1339200000,0.5323,0.3548,0.1129,0.4649,0.4194,0.3761076426708409,1151.85
2002-03-28,1147.3900146484375,1147600000,0.5116,0.2558,0.2326,0.4720375,0.279,0.3761076426708409,1144.58
2002-04-04,1126.3399658203125,1283800000,0.4048,0.3929,0.2024,0.4757625,0.2024,0.3761076426708409,1125.4
2002-04-11,1103.68994140625,1505600000,0.2821,0.3846,0.3333,0.4545749999999999,-0.0511999999999999,0.3761076426708409,1130.47
2002-04-18,1124.469970703125,1359300000,0.402,0.3659,0.2317,0.459375,0.1703,0.3761076426708409,1126.07
2002-04-25,1091.47998046875,1517400000,0.3667,0.4,0.2333,0.4496624999999999,0.1334,0.3761076426708409,1093.14
2002-05-02,1084.56005859375,1364000000,0.2703,0.3964,0.3333,0.4167875,-0.063,0.3761076426708409,1086.46
2002-05-09,1073.010009765625,1153000000,0.3026,0.2895,0.4079,0.38405,-0.1053,0.3761076426708409,1088.85
2002-05-16,1098.22998046875,1256600000,0.3679,0.3491,0.283,0.3635,0.0849,0.3761076426708409,1091.07
2002-05-23,1097.0799560546875,1192900000,0.2619,0.3333,0.4048,0.3322875,-0.1428999999999999,0.3761076426708409,1086.02
2002-05-29,1067.6600341796875,1081800000,0.2826,0.3152,0.4022,0.3170125,-0.1195999999999999,0.3761076426708409,1067.66
2002-06-06,1029.1500244140625,1601500000,0.3279,0.2787,0.3934,0.3227375,-0.0655,0.3761076426708409,1049.9
2002-06-13,1009.5599975585938,1405500000,0.3182,0.3455,0.3364,0.3122625,-0.0181999999999999,0.3761076426708409,1020.26
2002-06-20,1006.2899780273438,1389700000,0.4571,0.2857,0.2571,0.3235625,0.2,0.3761076426708409,1019.99
2002-06-27,990.6400146484376,1908600000,0.3097,0.2301,0.4602,0.3284875,-0.1505,0.3761076426708409,973.53
2002-07-03,953.989990234375,1527800000,0.2656,0.2656,0.4688,0.3238625,-0.2032,0.3761076426708409,989.03
2002-07-11,927.3699951171876,2080480000,0.3505,0.2268,0.4227,0.3216875,-0.0722,0.3761076426708409,920.47
2002-07-18,881.5599975585938,1736300000,0.2625,0.2,0.5375,0.3217625,-0.2749999999999999,0.3761076426708409,906.04
2002-07-25,838.6799926757812,2424700000,0.2791,0.2326,0.4884,0.321325,-0.2092999999999999,0.3761076426708409,843.43
2002-08-01,884.6599731445312,1672200000,0.3421,0.3421,0.3158,0.3231,0.0262999999999999,0.3761076426708409,911.62
2002-08-08,905.4600219726562,1646700000,0.377,0.2295,0.3934,0.33045,-0.0164,0.3761076426708409,876.77
2002-08-15,930.25,1505100000,0.3793,0.2069,0.4138,0.320725,-0.0344999999999999,0.3761076426708409,919.62
2002-08-22,962.7000122070312,1373000000,0.4375,0.1667,0.3958,0.3367,0.0417,0.3761076426708409,949.36
2002-08-29,917.7999877929688,1271100000,0.5,0.2097,0.2903,0.366,0.2097,0.3761076426708409,917.87
2002-09-05,879.1500244140625,1401300000,0.3148,0.1852,0.5,0.3615375,-0.1851999999999999,0.3761076426708409,893.4
2002-09-12,886.9099731445312,1191600000,0.3836,0.2466,0.3699,0.376675,0.0136999999999999,0.3761076426708409,909.45
2002-09-19,843.3200073242188,1524000000,0.3378,0.2297,0.4324,0.3840125,-0.0946,0.3761076426708409,845.39
2002-09-26,854.9500122070312,1650000000,0.2451,0.2843,0.4706,0.3718875,-0.2255,0.3761076426708409,839.66
2002-10-03,818.9500122070312,1674500000,0.3521,0.169,0.4789,0.368775,-0.1267999999999999,0.3761076426708409,827.91
2002-10-10,803.9199829101562,2090230000,0.2885,0.1635,0.5481,0.357425,-0.2596,0.3761076426708409,776.76
2002-10-17,879.2000122070312,1780390000,0.3947,0.2105,0.3947,0.3520749999999999,0.0,0.3761076426708409,860.02
2002-10-24,882.5,1700570000,0.4458,0.2169,0.3373,0.3453,0.1084999999999999,0.3761076426708409,896.14
2002-10-31,885.760009765625,1641300000,0.5147,0.2059,0.2794,0.3702874999999999,0.2353,0.3761076426708409,890.71
2002-11-07,902.6500244140624,1466900000,0.5,0.2368,0.2632,0.3848375,0.2368,0.3761076426708409,923.76
2002-11-14,904.27001953125,1519000000,0.4865,0.1892,0.3243,0.403425,0.1622,0.3761076426708409,882.53
2002-11-21,933.760009765625,2415100000,0.5056,0.2809,0.2135,0.4359875,0.2921,0.3761076426708409,914.15
2002-12-05,906.5499877929688,1250200000,0.5294,0.2941,0.1765,0.4859124999999999,0.3529,0.3761076426708409,934.53
2002-12-12,901.5800170898438,1255300000,0.4138,0.3448,0.2414,0.4883,0.1724,0.3761076426708409,904.96
2002-12-19,884.25,1385900000,0.4286,0.2714,0.3,0.48615,0.1286,0.3761076426708409,891.12
2002-12-26,889.6599731445312,721100000,0.4,0.28,0.32,0.4718124999999999,0.08,0.3761076426708409,897.38
2003-01-02,909.030029296875,1229200000,0.3243,0.2973,0.3784,0.4498499999999999,-0.0541,0.3761076426708409,879.82
2003-01-09,927.5700073242188,1560300000,0.381,0.1905,0.4286,0.4366624999999999,-0.0475999999999999,0.3761076426708409,909.93
2003-01-16,914.5999755859376,1534600000,0.2917,0.4167,0.2917,0.409925,0.0,0.3761076426708409,918.22
2003-01-23,887.3400268554688,1744550000,0.25,0.3182,0.4318,0.37735,-0.1818,0.3761076426708409,878.36
2003-01-30,844.6099853515625,1510300000,0.2553,0.266,0.4787,0.3430875,-0.2234,0.3761076426708409,864.36
2003-02-06,838.1500244140625,1430900000,0.2286,0.5143,0.2571,0.3199375,-0.0284999999999999,0.3761076426708409,843.59
2003-02-13,817.3699951171875,1489300000,0.219,0.4,0.381,0.2937375,-0.162,0.3761076426708409,818.68
2003-02-20,837.0999755859375,1194100000,0.2105,0.2105,0.5789,0.27005,-0.3683999999999999,0.3761076426708409,845.13
2003-02-27,837.280029296875,1287800000,0.2602,0.2683,0.4715,0.2620375,-0.2113,0.3761076426708409,827.55
2003-03-06,822.0999755859375,1299200000,0.3333,0.2727,0.3939,0.256075,-0.0605999999999999,0.3761076426708409,829.85
2003-03-13,831.9000244140625,1816300000,0.3429,0.1429,0.5143,0.262475,-0.1714,0.3761076426708409,804.19
2003-03-20,875.6699829101562,1439100000,0.4286,0.1905,0.381,0.2848,0.0475999999999999,0.3761076426708409,874.02
2003-03-27,868.52001953125,1232900000,0.3942,0.2788,0.3269,0.3021625,0.0672999999999999,0.3761076426708409,869.95
2003-04-03,876.4500122070312,1339500000,0.3235,0.2941,0.3824,0.314025,-0.0589,0.3761076426708409,880.9
